ScenarioDatei, ScenarioID, TrackID, MissRate, FinalDisplacementErrorLateral, FinalDisplacementErrorLonglitudinal
0, 856, 13, False, 39.88272252168216, -29.68692782117568 
0, 209, 35, False, -48.91627045031602, 24.963092097988472 
0, 449, 9, False, 10.71578297732134, 13.595089103984657 
0, 542, 4, False, -19.095618144666638, -142.662544682466 
0, 410, 21, False, 1.8301161676812336, -7.369385153370477 
0, 282, 23, False, -38.85804795692375, -25.221709521578298 
0, 9, 11, False, -10.92936148304096, -1.9842015963957307 
0, 576, 31, False, 44.18435207458118, -71.01412942367719 
0, 546, 6, False, -44.47363429053595, 82.1047586430427 
0, 624, 11, False, 3.8304414652749665, -20.673562422454854 
0, 603, 10, False, -35.671502390422695, -22.411732065212906 
0, 58, 94, False, 8.13374992169138, -3.6972357881566467 
0, 131, 0, False, -43.38112028871596, -52.56230049209379 
0, 618, 27, False, 13.810689355811014, -58.25966559456209 
